event,gender,clas_s,mark,athlete,year,school
100 Meter Dash,Boys,2,10.20x, Sachin Dennis,2018, STETHS
100 Meter Dash,Boys,3,10.69x, Christopher Scott,2019, Jamaica Coll
100 Meter Dash,Girls,1,10.92x, Alana Reid,2023, Hydel High
100 Meter Dash,Girls,2,11.16x, Kevona Davis,2018, Edwin Allen
100 Meter Dash,Girls,3,11.27x, Tina Clayton,2019, Edwin Allen
100 Meter Dash,Girls,4,11.75x, Kimone Shaw,2013, St. Jago Hig
200 Meter Dash,Boys,2,20.80x, Christopher Taylor,2016, Calabar
200 Meter Dash,Boys,1,20.25x,USAIN BOLT,2003, WILLIAM KNIBB
200 Meter Dash,Boys,3,21.69x, Adrian Kerr,2018, KC
200 Meter Dash,Girls,1,22.53x,Brianna Lyston,2022, Hydel High
200 Meter Dash,Girls,2,22.72x, Kevona Davis,2018, Edwin Allen
200 Meter Dash,Girls,3,23.07x,Kevona Davis,2017, Edwin Allen
200 Meter Dash,Girls,4,23.72x,Brianna Lyston,2017, St. Jago
400 Meter Dash,Boys,2,46.33x, Christopher Taylor,2016, Calabar
400 Meter Dash,Boys,3,48.72x, Christopher Taylor,2014, Calabar High
400 Meter Dash,Boys,1,44.93x, Akeem Bloomfield,2015, Kingston College
400 Meter Dash,Girls,1,51.13x,SONITA SUTHERLAND,2006, HOLWOOD
400 Meter Dash,Girls,2,51.62x,CHRIS-ANN GORDON,2011, HOLMWOOD
400 Meter Dash,Girls,3,52.52x,ANNEISHA MCLAUGHLIN,2001, HOLMWOOD
70 Meter Hurdles,Girls,4,10.38x,Malayia Duncan,2022, Hydel High
80 Meter Hurdles,Girls,3,10.87x,Camoy Binger,2022, St. Jago Hig
100 Meter Hurdles,Boys,3,12.87x, Neil-matthew Sutherland,2018, JC
100 Meter Hurdles,Girls,1,13.00x,Oneka Wilson,2022, Hydel High
100 Meter Hurdles,Girls,2,12.71x,Kerrica Hill,2022, Hydel High
110 Meter Hurdles,Boys,2,13.26x, Vashaun Vascianna,2019, St. Jago Hig
110 Meter Hurdles,Boys,1,13.06x, Wayne Pinnock,2019, Kingston Col
400 Meter Hurdles,Boys,2,51.44x, Jeremy Farr,2017, Wolmer's
400 Meter Hurdles,Boys,1,49.50x,Roshawn Clarke,2022, Camperdown H
400 Meter Hurdles,Girls,Open,55.78x, Shiann Salmon,2018, Hydel
800 Meter Run,Boys,2,1:51.26x, Kimar Farquharson,2017, Calabar High
800 Meter Run,Boys,3,1:58.06x, WAQAR DACOSTA,2007, JAMAICA COLLEGE
800 Meter Run,Boys,1,1:48.58x, Chevonne Hall,2021, Edwin Allen
800 Meter Run,Girls,1,2:03.75x, KAYANN THOMPSON,2004, EDWIN ALLEN
800 Meter Run,Girls,2,2:07.74x,CARLENE ROBINSON,2001, CHRISTIANA HIGH
800 Meter Run,Girls,3,2:09.60x,NATOYA GOULE,2006, MANCHESTER
1500 Meter Run,Boys,2,3:55.38x, Kevroy Venson,2017, Calabar
1500 Meter Run,Boys,3,4:12.50x, Tavaughn Martin,2019, Bellefield H
1500 Meter Run,Boys,1,3:45.54x, KEMOY CAMPBELL,2010, BELLEFIELD
1500 Meter Run,Girls,2,4:32.10x,EVETTE TURNER,1993, VERE TECNICAL
1500 Meter Run,Girls,3,4:20.20x,EVETTE TURNER,1992, VERE TECHNICAL
2000 Meter Steeplechase,Boys,Open,5:49.46x, Rodgers Aryamanya,2018, KC
2000 Meter Steeplechase,Girls,Open,7:01.07x, Desreen Montaque,2012, EDWIN ALLEN HIGH
3000 Meter Run,Girls,Open,9:48.06x,EVETTE TURNER,1992, VERE TECHNICAL
5000 Meter Run,Boys,Open,14:18.55x, KEMOY CAMPBELL,2010, BELLEFIELD
4X100 Meter Relay,Boys,2,40.29x, Calabar High,2016, Calabar
4X100 Meter Relay,Boys,3,41.81x, Calabar High,2014, Calabar High
4X100 Meter Relay,Girls,1,43.28x,Edwin Allen High,2022, Edwin Allen
4X100 Meter Relay,Girls,2,44.81x, Edwin Allen High,2021, Edwin Allen
4X100 Meter Relay,Girls,3,44.25x, Edwin Allen High,2019, Edwin Allen
4X100 Meter Relay,Girls,4,46.23x,St. Jago High,2017, St. Jago
4X100 Meter Relay,Boys,1,39.08x, Calabar High,2015, Calabar High
4X400 Meter Relay,Boys,Open,3:06.76x, Calabar High,2015, Calabar High
4X400 Meter Relay,Girls,Open,3:30.51x, Vere Technical High,2013, Vere Technic
1600 Sprint Medley,Boys,Open,3:24.22x, Kingston College,2018, KC
1600 Sprint Medley,Girls,Open,3:57.58x,Spaldings High,2017, Spaldings
Long Jump Class,Boys,1,8.05mx, Wayne Pinnock,2019, Kingston Col
Long Jump Class,Boys,2,7.70mx,PAUL THOMPSON,1998, MUNRO
Long Jump Class,Boys,3,6.97mx,PAUL THOMPSON,1996, MUNRO
Long Jump Class,Girls,1,6.52mx, CHANICE PORTER,2012, MANCHESTER
Long Jump Class,Girls,2,6.43mx, CHANICE PORTER,2010, MANCHESTER
Long Jump Class,Girls,3,6.06mx, SAMARA SPENCER,2012, HYDEL
Long Jump Class,Girls,4,5.64mx, Jounee Armstrong,2019, Immaculate C
Triple Jump Class,Boys,1,16.66mx,Jaydon Hibbert,2022, Kingston Col
Triple Jump Class,Boys,2,15.51mx, Luke Brown,2019, Calabar High
Triple Jump Open,Girls,Open,13.52mx, KIMBERLY WILLIAMS,2007, VERE TECHNICAL
Shot Put Class,Boys,1,20.65mx,Kevin Nedrick,2017, Petersfield
Shot Put Class,Boys,2,19.99mx, Ralford Mullings,2019, Kingston Col
Shot Put Class,Girls,1,15.33mx,Britannia Johnson,2023, Camperdown H
Shot Put Class,Girls,2,15.99mx, Danielle Sloley,2018, Immaculate
Discus Throw Class,Boys,1,66.88mx, Travis Smikle,2011, CALABAR HIGH
Discus Throw Class,Boys,2,56.49mx,Zachary Campbell,2022, Jamaica Coll
Discus Throw Class,Girls,1,57.84mx, Cedricka Williams,2023, Holmwood Tec
Discus Throw Class,Girls,2,47.04mx, Cedricka Williams,2021, Holmwood Tec
Discus Throw Class,Girls,3,45.88mx,Dionjah Shaw,2022, Edwin Allen
Javelin Throw Open,Boys,Open,64.08mx, Devon Spencer,2014, St. Elizabet
Javelin Throw Open,Girls,Open,47.85mx, TANESHA BLAIR,2007, HOLMWOOD TECH
High Jump Class,Boys,2,2.11mx,Aaron McKenzie,2022, Kingston Col
High Jump Class,Boys,3,1.99mx, Lamar Reid,2015, Calabar High
High Jump Class,Girls,2,1.83mx,SHEREE FRANCIS,2000, VERE TECHNICAL
High Jump Class,Girls,3,1.80mx, Shantae Foreman,2018, Excelsior
High Jump Class,Girls,4,1.67mx, SHIAN SALMON,2012, HYDEL
High Jump Class,Boys,1,2.23mx, Christoffe Bryan,2014, Wolmer's Hig
Pole Vault Open,Boys,Open,4.46mx, Xavier Boland,2011, KINGSTON COLLEGE
