year,school,gender
1910, Wolmer's Boys,Boys
1911, Jamaica College,Boys
1912, Jamaica College,Boys
1913, Jamaica College,Boys
1914, St. George's College,Boys
1915, Wolmer's Boys,Boys
1916, Jamaica College,Boys
1917, Wolmer's Boys,Boys
1918, Jamaica College,Boys
1919, Jamaica College,Boys
1920, Munro College,Boys
1921, Jamaica College,Boys
1922, Jamaica College,Boys
1923, Jamaica College,Boys
1924, Wolmer's Boys,Boys
1925, St. George's College,Boys
1926, Munro College,Boys
1927, Wolmer's Boys,Boys
1928, Jamaica College,Boys
1929, Wolmer's Boys,Boys
1930, Calabar High School,Boys
1931, Calabar High,Boys
1932, Calabar High,Boys
1933, Calabar High,Boys
1934, Munro College,Boys
1935, Munro College,Boys
1936, Calabar High,Boys
1937, Kingston College,Boys
1938, Wolmer's Boys,Boys
1939, Wolmer's Boys,Boys
1940, Jamaica College,Boys
1941, Wolmer's Boys,Boys
1942, Kingston College,Boys
1943, Munro College,Boys
1945, Munro College,Boys
1946, Calabar High,Boys
1947, Munro College,Boys
1948, Munro College,Boys
1949, Wolmer's Boys,Boys
1950, Kingston College,Boys
1951, Kingston College,Boys
1952, Jamaica College,Boys
1953, Kingston College,Boys
1954, Kingston College,Boys
1955, Calabar High,Boys
1956, Wolmer's Boys,Boys
1957, Kingston College,Boys
1958, Calabar High,Boys
1959, Jamaica College,Boys
1960, Excelsior High,Boys
1961, Calabar High,Boys
1962, Kingston College,Boys
1963, Kingston College,Boys
1964, Kingston College,Boys
1965, Kingston College,Boys
1966, Kingston College,Boys
1967, Kingston College,Boys
1968, Kingston College,Boys
1969, Kingston College,Boys
1970, Kingston College,Boys
1971, Kingston College,Boys
1972, Kingston College,Boys
1973, Kingston College,Boys
1974, Kingston College,Boys
1975, Kingston College,Boys
1976, Calabar High,Boys
1977, Calabar High,Boys
1978, Calabar High,Boys
1979, Kingston College,Boys
1980, Kingston College,Boys
1981, Calabar High,Boys
1982, Clarendon College (Jamaica),Boys
1983, Kingston College,Boys
1984, Clarendon College,Boys
1985, Clarendon College,Boys
1986, Calabar High,Boys
1987, St. Jago High,Boys
1988,Calabar High,Boys
1989, Calabar High,Boys
1990, Calabar High,Boys
1991,Jamaica College,Boys
1992, Jamaica College,Boys
1993, St. Jago High,Boys
1994, Jamaica College,Boys
1995, Jamaica College,Boys
1996, Calabar High,Boys
1997, Calabar High,Boys
1998, Jamaica College,Boys
1999, Jamaica College,Boys
2000, Jamaica College,Boys
2001,Kingston College,Boys
2002,Kingston College,Boys
2003,Kingston College,Boys
2004,Kingston College,Boys
2005, Kingston College,Boys
2006, Kingston College,Boys
2007, Calabar High,Boys
2008, Calabar High,Boys
2009, Kingston College,Boys
2010, Wolmer's Boys,Boys
2011, Jamaica College,Boys
2012, Calabar High,Boys
2013, Calabar High,Boys
2014, Calabar High,Boys
2015,Calabar High,Boys
2016, Calabar High,Boys
2017, Calabar High,Boys
2018, Calabar High,Boys
2019, Kingston College,Boys
2021, Jamaica College,Boys
2022, Kingston College,Boys
2023, Kingston College,Boys
2024, Kingston College,Boys
,,
1957, St. Hilda's High,Girls
1961," Manchester High School, Jamaica",Girls
1962, St. Andrew High School,Girls
1963, Titchfield High School,Girls
1964, Titchfield High,Girls
1965, Manning's School,Girls
1966, Manning's School,Girls
1967, Vere Technical,Girls
1968, Vere Technical,Girls
1969, Manning's School,Girls
1970, Excelsior,Girls
1971, Excelsior,Girls
1972, Excelsior,Girls
1973, Excelsior High,Girls
1974, Vere Technical,Girls
1975, Vere Technical,Girls
1976," St Mary High School, Jamaica",Girls
1977, St Mary High,Girls
1978," Queen's School, Jamaica",Girls
1979, Vere Technical,Girls
1980, Vere Technical,Girls
1981, Vere Technical,Girls
1982, Vere Technical,Girls
1983, Vere Technical,Girls
1984, Vere Technical,Girls
1985, Vere Technical,Girls
1986, Vere Technical,Girls
1987, Vere Technical,Girls
1988, Vere Technical,Girls
1990, Vere Technical,Girls
1991, Vere Technical,Girls
1992, Vere Technical,Girls
1993, Vere Technical,Girls
1994, Manchester High,Girls
1995, Manchester High,Girls
1996, St Jago High,Girls
1997, St Jago High,Girls
1998, St Jago High,Girls
1999, St Jago High,Girls
2000, Vere Technical,Girls
2001, Vere Technical,Girls
2002, Vere Technical,Girls
2003, Holmwood Technical,Girls
2004, Holmwood Technical,Girls
2005, Holmwood Technical,Girls
2006, Holmwood Technical,Girls
2007, Holmwood Technical,Girls
2008, Holmwood Technical,Girls
2009, Holmwood Technical,Girls
2010, Holmwood Technical,Girls
2011, Holmwood Technical,Girls
2012, Edwin Allen High,Girls
2013, Holmwood Technical,Girls
2014, Edwin Allen High,Girls
2015, Edwin Allen High,Girls
2016, Edwin Allen High,Girls
2017, Edwin Allen High,Girls
2018, Edwin Allen High,Girls
2019, Edwin Allen High,Girls
2021, Edwin Allen High,Girls
2022, Edwin Allen High,Girls
2023, Hydel High School,Girls
2024, Edwin Allen High,Girls
