event,gender,one,two,three,four,open
100 Meter,Boys,37,37,37,,
100 Meter Hurdles,Boys,,,37,,
110 Meter Hurdles,Boys,37,37,,,
1500 Meter,Boys,37,37,37,,
1600 Sprint Medley,Boys,,,,,50
200 Meter,Boys,37,37,37,,
2000 Meter Steeplechase,Boys,,,,,37
400 Meter,Boys,37,37,37,,
400 Meter Hurdles,Boys,37,37,,,
4X100 Meter Relay,Boys,50,50,50,,
4X400 Meter Relay,Boys,,,,,50
5000 Meter,Boys,,,,,37
800 Meter,Boys,37,37,37,,
Decathlon,Boys,,,,,50
Discus Throw,Boys,37,37,,,
High Jump,Boys,37,37,37,,
Javelin Throw,Boys,,,,,37
Long Jump,Boys,37,37,37,,
Pole Vault,Boys,,,,,37
Shot Put,Boys,37,37,,,
Triple Jump,Boys,37,37,,,
100 Meter,Girls,37,37,37,37,
100 Meter Hurdles,Girls,37,37,,,
1500 Meter,Girls,37,37,37,,
1600 Sprint Medley,Girls,,,,,50
200 Meter,Girls,37,37,37,37,
2000 Meter Steeplechase,Girls,,,,,37
3000 Meter,Girls,,,,,37
400 Meter,Girls,37,37,37,,
400 Meter Hurdles,Girls,,,,,37
4X100 Meter Relay,Girls,50,50,50,50,
4X400 Meter Relay,Girls,,,,,50
70 Meter Hurdles,Girls,,,,37,
80 Meter Hurdles,Girls,,,37,,
800 Meter,Girls,37,37,37,,
Discus Throw,Girls,37,37,37,,
Heptathlon,Girls,,,,,50
High Jump,Girls,37,37,37,37,
Javelin Throw,Girls,,,,,37
Long Jump,Girls,37,37,37,37,
Shot Put,Girls,37,37,,,
Triple Jump,Girls,,,,,37
